날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2009.1.1,108,-5.8,-9.5,-2.5
2009.1.2,108,-2.8,-6.9,1.2
2009.1.3,108,-1,-5.6,4
2009.1.4,108,0.4,-2.8,4.5
2009.1.5,108,-1.6,-3.4,1.2
2009.1.6,108,-2,-5.4,1.4
2009.1.7,108,-0.5,-4.2,4.2
2009.1.8,108,-0.9,-4,2.5
2009.1.9,108,-3.5,-6.8,-0.5
2009.1.10,108,-7.5,-9.9,-4.3
2009.1.11,108,-8,-9.6,-4.2
2009.1.12,108,-7.8,-11,-3.2
2009.1.13,108,-5.5,-9,-1.5
2009.1.14,108,-6.6,-9.4,-3.2
2009.1.15,108,-6.3,-11.2,-2
2009.1.16,108,-2.8,-4.8,0.4
2009.1.17,108,-1.4,-5.9,3.1
2009.1.18,108,2.6,0.1,6.1
2009.1.19,108,0.6,-2.7,4.7
2009.1.20,108,2.2,-2.4,7.2
2009.1.21,108,3.9,1,5.9
2009.1.22,108,3.6,-2,9.3
2009.1.23,108,-9,-11,-2
2009.1.24,108,-8.1,-11.4,-5.1
2009.1.25,108,-4.6,-9.3,1
2009.1.26,108,-3.3,-5.3,-0.2
2009.1.27,108,-1.9,-6.8,3.9
2009.1.28,108,1.5,-3,7.8
2009.1.29,108,3.3,-1.2,8.3
2009.1.30,108,5.8,0.7,12.2
2009.1.31,108,6.1,3.4,11.7
2009.2.1,108,5.3,1.6,10.5
2009.2.2,108,5.2,2.1,8
2009.2.3,108,5.7,2.9,11.1
2009.2.4,108,4.4,1.5,8.9
2009.2.5,108,4.4,3.2,6
2009.2.6,108,3.2,0.6,6.8
2009.2.7,108,2.8,0.4,5
2009.2.8,108,2.7,-2.2,8.2
2009.2.9,108,5,2.6,8.1
2009.2.10,108,4.5,2,6.5
2009.2.11,108,5.7,3.2,9.2
2009.2.12,108,6.8,1.8,10.6
2009.2.13,108,10.4,4.3,16.1
2009.2.14,108,3.6,2.1,5.3
2009.2.15,108,-1.6,-6.4,2.4
2009.2.16,108,-6,-8.6,-2.3
2009.2.17,108,-4.6,-8.6,-0.5
2009.2.18,108,-2.2,-6,1.4
2009.2.19,108,0.6,-1.8,3.9
2009.2.20,108,-2.5,-6.8,-0.1
2009.2.21,108,-2.2,-7.8,2.7
2009.2.22,108,3,0.1,7
2009.2.23,108,6.2,-0.2,11.9
2009.2.24,108,7.6,6.2,10.2
2009.2.25,108,2.8,-0.8,6.4
2009.2.26,108,2.4,-2.5,7.3
2009.2.27,108,3.9,-1,8.6
2009.2.28,108,5.2,0.9,10.2
2009.3.1,108,3.3,-1.6,8.6
2009.3.2,108,3.6,-2.8,8.6
2009.3.3,108,2.7,0.6,5.1
2009.3.4,108,3.7,-0.3,8.9
2009.3.5,108,5.2,3.2,7.6
2009.3.6,108,1.6,-1.9,4
2009.3.7,108,1.7,-3,6.4
2009.3.8,108,5.1,-0.2,11.1
2009.3.9,108,5.9,2.7,11.1
2009.3.10,108,3.4,-0.5,8.6
2009.3.11,108,4.5,0.3,9.9
2009.3.12,108,7.9,2.9,13.5
2009.3.13,108,2.7,-3,6.3
2009.3.14,108,0.2,-3.3,4.3
2009.3.15,108,5.1,-1.3,8.8
2009.3.16,108,8.7,5.8,13.1
2009.3.17,108,12.3,4.7,18.8
2009.3.18,108,16.3,14,18.8
2009.3.19,108,14.1,9.9,17.3
2009.3.20,108,12.2,6.3,19.3
2009.3.21,108,14.3,8.5,22.2
2009.3.22,108,10,4.6,13.5
2009.3.23,108,4.5,0.5,9.6
2009.3.24,108,1.9,-0.1,5.5
2009.3.25,108,2.4,-2,5.5
2009.3.26,108,4.7,2.1,9.2
2009.3.27,108,3.8,0.1,8.4
2009.3.28,108,4.5,0.2,10.1
2009.3.29,108,6.7,0.6,12.1
2009.3.30,108,7.3,3.9,11.2
2009.3.31,108,6.1,3.5,9.9
2009.4.1,108,5.9,2.2,10
2009.4.2,108,7.6,2.6,14.2
2009.4.3,108,8.2,5.3,12.8
2009.4.4,108,8.7,6,12.7
2009.4.5,108,9.8,5.7,15.8
2009.4.6,108,10.9,5.4,17
2009.4.7,108,14.1,7.8,21.3
2009.4.8,108,16.2,9.8,23.9
2009.4.9,108,17.5,10.9,24.9
2009.4.10,108,17.3,11.8,23.6
2009.4.11,108,18.5,11.8,25.3
2009.4.12,108,16.6,13,21.2
2009.4.13,108,15.7,12.6,20.6
2009.4.14,108,16.1,13.2,21.1
2009.4.15,108,9.9,7.9,14.1
2009.4.16,108,10.7,5.7,15.4
2009.4.17,108,12,6,17.9
2009.4.18,108,14.4,7.6,20.6
2009.4.19,108,18.5,10.7,25.8
2009.4.20,108,14,11.4,17.2
2009.4.21,108,9.4,8.5,11.4
2009.4.22,108,9.9,7.7,13
2009.4.23,108,12.7,5.8,17.9
2009.4.24,108,13.3,11.5,17.4
2009.4.25,108,8.7,6.1,11.8
2009.4.26,108,8.7,4.9,12.2
2009.4.27,108,11.2,6.3,17
2009.4.28,108,13.5,7.2,20.2
2009.4.29,108,15.6,8.6,22.5
2009.4.30,108,15.7,9.8,20.8
2009.5.1,108,17.4,10.9,22.4
2009.5.2,108,15.4,14.2,18
2009.5.3,108,16.6,12.7,22.8
2009.5.4,108,14.7,10,21.5
2009.5.5,108,18.1,9.8,26.3
2009.5.6,108,22.4,15.3,29.2
2009.5.7,108,21.3,15.5,27.5
2009.5.8,108,21.2,15.6,27.4
2009.5.9,108,21.7,16.4,27
2009.5.10,108,20.3,16,25.9
2009.5.11,108,17,15.8,20
2009.5.12,108,18.6,15.1,23.9
2009.5.13,108,17.9,13.7,22.4
2009.5.14,108,18.9,12,25.2
2009.5.15,108,18.3,15.3,22.1
2009.5.16,108,13.7,13,15.5
2009.5.17,108,14.3,12.1,17.4
2009.5.18,108,16.9,9.9,22.6
2009.5.19,108,19.3,13.7,24.5
2009.5.20,108,21.6,15.1,27.3
2009.5.21,108,15.8,15.1,19.4
2009.5.22,108,18,14.9,22.5
2009.5.23,108,16.5,14.5,19.6
2009.5.24,108,19.5,14.8,25
2009.5.25,108,22.5,15.3,29.6
2009.5.26,108,23.1,18.2,29
2009.5.27,108,23.9,18.7,29.7
2009.5.28,108,24.2,17.2,31
2009.5.29,108,22.8,18.4,27.9
2009.5.30,108,21.3,18,25.4
2009.5.31,108,19.7,15.8,24.7
2009.6.1,108,21.7,14.3,28.1
2009.6.2,108,21.7,18.8,26.2
2009.6.3,108,19.1,17.9,22.2
2009.6.4,108,21.2,17.7,25.9
2009.6.5,108,22.5,16,28.2
2009.6.6,108,22.2,18.2,27.6
2009.6.7,108,19.1,17.4,21.8
2009.6.8,108,20.9,14.9,25.7
2009.6.9,108,19.4,16.8,21.8
2009.6.10,108,18.8,16.9,22.2
2009.6.11,108,21,15.9,25.7
2009.6.12,108,19.4,14.5,24.4
2009.6.13,108,20.2,15.9,24.6
2009.6.14,108,20.4,18.4,23.5
2009.6.15,108,21.6,17.7,26.3
2009.6.16,108,21.8,17.5,26.6
2009.6.17,108,21.1,19.6,23.1
2009.6.18,108,25.1,18.2,31.5
2009.6.19,108,25.1,22.1,28.5
2009.6.20,108,22.7,22,24.7
2009.6.21,108,25.1,21.9,30.2
2009.6.22,108,23,20.6,26.5
2009.6.23,108,23.4,19.1,27.9
2009.6.24,108,24.5,19.7,30
2009.6.25,108,24.8,20.7,29.8
2009.6.26,108,24.4,20.9,29.4
2009.6.27,108,26.1,20.8,32.4
2009.6.28,108,26,23.4,29.6
2009.6.29,108,26.1,22.5,31.1
2009.6.30,108,24.4,22.2,26.6
2009.7.1,108,23.5,20.7,27.4
2009.7.2,108,20.7,18.7,22.3
2009.7.3,108,22.5,19.3,27
2009.7.4,108,22.8,19.8,26.9
2009.7.5,108,24.6,19.9,30
2009.7.6,108,25,22,29
2009.7.7,108,24.9,22.1,28.1
